Fecha registrada,Latitud Aproximada,Longitud Aproximada,Nombre del Encuestador o Encuestadora,Tipo de negocio,¿El negocio tiene reja para entrar? (¿los consumidores pueden entrar a la tienda para escoger y comprar los productos?),Nombre del negocio,Campus,Año de apertura del negocio,¿Cuántas personas trabajaron para este negocio (con o sin paga) durante el mes anterior?,¿Cuántas personas trabajaron con un salario fijo durante el último mes?,"En tres meses, ¿esperas que el número total de trabajadores del negocio aumente, disminuya o permanezca igual?","Durante el último mes, ¿tuviste más, menos, o el mismo número de clientes en tu negocio?","¿Esperas que en tres meses tengas más, menos o el mismo número de clientes en tu negocio?","¿Tus ventas actuales están mejor, peor o igual en comparación con hace un mes?",¿Por qué piensas que las ventas incrementaron/disminuyeron/permanecieron igual? (opcional),"¿Esperas que las ventas de tu negocio en tres meses sean mayores, menores o iguales?","¿Durante el último mes tu nivel de inventario aumentó, disminuyó o permaneció igual?","¿Esperas que dentro de tres meses el nivel de inventario incremente, disminuya o permanezca igual?","Actualmente, ¿sientes que tu nivel de inventario es demasiado grande, muy poco o está en su nivel correcto?","En promedio, ¿el precio de venta de los productos que vende este establecimiento aumentó, bajó o permaneció igual a hace un mes?","¿Dentro de tres meses, esperas que los precios de los productos que vendes aumenten, disminuyan o permanezcan igual?",Qué tanto impacta a tu negocio: - El crimen,Qué tanto impacta a tu negocio: - La falta de crédito,Qué tanto impacta a tu negocio: - El incremento en el precio de los bienes,Qué tanto impacta a tu negocio: - La competencia,¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? - Bancos,¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? - Proveedores,¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? - Familia,¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? - Gobierno,¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? - Ahorros populares (tandas),¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? - Crédito privado,¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? Otro (OPCIONAL),¿Cuál es la razón principal por la que tu negocio no tiene un crédito bancario?,"Asume que tienes los medios para hacer crecer tu negocio, ¿quisieras que tu negocio creciera? (por ejemplo, con más empleados, más productos, un local más grande)",¿Cuál es la razón principal por la que no quieres que tu negocio crezca?,¿Cuál sería el salario mensual más bajo que estaría dispuesto a aceptar para cerrar el negocio y,Horario de apertura,Horario de cierre,Sexo del dueño o dueña,¿El local de su negocio es rentado o propio?,Educación del dueño,Edad del dueño o dueña
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aceptar un trabajo hoy? (En pesos por mes),,,,,,
30/09/2024 19:45,25.7442,-100.3103,Raul Gerardo Villarreal García _ Tecnológico de Monterrey  _ Chihuahua ,Miscelanea o Tienda de Abarrotes,Sí,Long beach,Chihuahua,2003,3,3,Permanezca igual,,,Igual,,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Permaneció igual,Aumenten,Mucho,Nada,Mucho,Poco,No,No,No,No,No,No,,Las tasas de interés son muy altas,No,Porque está satisfecho con su negocio,"$30,000.00 ",08:00 a. m.,08:00 p. m.,Mujer,Rentado,Preparatoria,De 41 a 50
30/09/2024 19:45,25.7442,-100.3103,Sebastian,Miscelanea o Tienda de Abarrotes,Sí,Long beach,Chihuahua,2003,3,3,Permanezca igual,,,Igual,,Iguales,Permaneció igual,Permanezca igual,En su nivel correcto,Permaneció igual,Aumenten,Mucho,Nada,Poco,Nada,No,No,No,No,No,No,,Las tasas de interés son muy altas,Sí,,25000-30000,08:00 a. m.,08:00 p. m.,Mujer,Rentado,Preparatoria,De 41 a 50
30/09/2024 19:48,28.85,-106.2773,Mariana Georgina Loya Pérez ,Miscelanea o Tienda de Abarrotes,Sí,Abarrotes La Esmeralda,Chihuahua,2004,1,1,Permanezca igual,,,Igual,,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Permanezcan igual,Moderado,Nada,Poco,Moderado,No,Sí,Sí,No,No,No,,No necesito un crédito,Sí,,15000,07:00 a. m.,11:00 p. m.,Hombre,Rentado,Universidad y más,De 51 a 60
30/09/2024 20:03,25.7442,-100.3103,Yashir Elías Fernández Chavarría ,Miscelanea o Tienda de Abarrotes,Sí,D'CEDRO SUPERETTE,Chihuahua,1985,2,2,Aumente,,,Mejor,Inicio de clases,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Permaneció igual,Aumenten,Nada,Nada,Poco,Nada,No,No,No,No,No,No,No recibió. ,No necesito un crédito,No,Porque está satisfecho con su negocio,0,07:00 a. m.,10:00 p. m.,Hombre,Propio,Universidad y más,De 51 a 60
30/09/2024 20:03,25.7633,-100.2783,Said Castellanos ,Panadería,No,Corredor artesanal,Chihuahua,2023,1,1,Aumente,,,Peor,Por temporada,Mayores,Permaneció igual,Incremente,Demsiado grande,Permaneció igual,Aumenten,Poco,Mucho,Mucho,Algo,No,No,Sí,No,Sí,No,,No necesito un crédito,Sí,,"30,000",10:00 a. m.,10:00 p. m.,Hombre,Rentado,Secundaria,Más de 60
30/09/2024 20:06,25.7442,-100.3103,Raul Gerardo Villarreal García  _ Tecnológico de Monterrey  _ Chihuahua ,Miscelanea o Tienda de Abarrotes,Sí,abarrotes yeimi,Chihuahua,2007,1,1,Permanezca igual,,,Igual,,Mayores,Aumentó,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Mucho,Poco,Mucho,Algo,No,No,No,No,No,No,,No necesito un crédito,Sí,,"$30,000.00 ",08:00 a. m.,08:00 p. m.,Hombre,Rentado,Preparatoria,De 41 a 50
30/09/2024 20:06,25.7442,-100.3103,Sebastian,Miscelanea o Tienda de Abarrotes,Sí,Abarrotes yeimi,Chihuahua,2007,1,1,Permanezca igual,,,Igual,,Mayores,Aumentó,Permanezca igual,En su nivel correcto,Permaneció igual,Aumenten,Mucho,Moderado,Mucho,Algo,No,No,No,No,No,No,,No necesito un crédito,Sí,,30000,08:00 a. m.,08:00 p. m.,Hombre,Rentado,Preparatoria,De 41 a 50
30/09/2024 20:19,19.4342,-99.0559,Raul Olivera ,Fondita/Mini Resutaurante,No,Elotes angelito,Chihuahua,2014,3,3,Permanezca igual,,,Peor,Disminuyeron por el COVID ,Mayores,Permaneció igual,Incremente,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Nada,Nada,Nada,No,No,Sí,No,No,No,,No necesito un crédito,Sí,,7000,11:00 a. m.,08:30 p. m.,Hombre,Propio,Preparatoria,De 31 a 40
30/09/2024 20:25,19.4342,-99.0559,Raul Olivera,Miscelanea o Tienda de Abarrotes,Sí,Puesto revistas,Chihuahua,2014,1,1,Permanezca igual,,,Mejor,Por las fechas patrias,Iguales,Aumentó,Permanezca igual,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Nada,Nada,Nada,No,Sí,No,No,No,No,,No necesito un crédito,Sí,,40000,09:00 a. m.,05:00 p. m.,Hombre,Propio,Preparatoria,De 41 a 50
30/09/2024 20:26,28.7791,-106.0786,Mariana Georgina Loya Pérez,Miscelanea o Tienda de Abarrotes,Sí,Casa Camargo,Chihuahua,2019,3,0,Disminuya,,,Igual,,Mayores,Permaneció igual,Permanezca igual,Muy poco,Permaneció igual,Disminuyan,Mucho,Nada,Poco,Poco,No,No,No,No,No,No,,Los procedimientos para aplicar son complicados,Sí,,15000,07:00 a. m.,11:00 p. m.,Hombre,Propio,Sin estudios,Más de 60
30/09/2024 20:31,19.4342,-99.0559,Yashir Elías Fernández Chavarría ,Miscelanea o Tienda de Abarrotes,Sí,Minisuper JH,Chihuahua,2021,2,1,Permanezca igual,,,Igual,Un mes en poco tiempo para decir y definir si ha habido aumento o disminución ,Mayores,Aumentó,Incremente,En su nivel correcto,Aumentó,Aumenten,Nada,Nada,Poco,Poco,No,No,Sí,No,Sí,No,Familiar,Las tasas de interés son muy altas,Sí,,1000,07:00 a. m.,10:00 p. m.,Hombre,Propio,Universidad y más,Más de 60
